gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,major_group,average_score,performance_category,sains_score,sosial_score,bahasa_score,gender_Female,gender_Male,career_encoded,major_group_encoded
Male,0,0.30000000000000004,0,0.54,Lawyer,0.42553191489361697,0.6200000000000001,0.8600000000000001,0.94,0.421875,0.6122448979591835,0.6750000000000003,Sosial & Hukum,0.6178378378378377,Sedang,0.6257309941520468,0.651685393258427,0.6122448979591835,0,1,9,3
Female,0,0.2,0,0.9400000000000001,Doctor,0.7872340425531914,0.72,0.9199999999999999,1.0,0.84375,0.7755102040816324,0.75,Sains & Kesehatan,0.8727027027027028,Tinggi,0.9181286549707601,0.7415730337078652,0.7755102040816324,1,0,6,1
Female,0,0.9,1,0.26,Government Officer,0.5957446808510638,0.94,0.9000000000000001,0.9199999999999999,0.453125,0.5510204081632653,0.8500000000000001,Sosial & Hukum,0.7375675675675677,Tinggi,0.6900584795321636,0.910112359550562,0.5510204081632653,1,0,8,3
Female,0,0.5,0,0.06,Artist,0.38297872340425543,0.48,0.76,0.6000000000000001,0.828125,0.26530612244897944,0.6499999999999999,Seni & Kreatif,0.528918918918919,Sedang,0.6374269005847952,0.5617977528089888,0.26530612244897944,1,0,1,2
Male,0,0.5,0,0.2,Social Network Studies,0.6595744680851063,0.54,0.30000000000000004,0.30000000000000004,0.6875,0.4897959183673468,0.40000000000000013,Sosial & Hukum,0.4132432432432436,Rendah,0.4385964912280702,0.4831460674157304,0.4897959183673468,0,1,12,3
Female,0,0.2,0,0.52,Social Network Studies,0.8510638297872339,1.0,0.3400000000000001,0.56,0.5625,0.6122448979591835,0.6000000000000001,Sosial & Hukum,0.6178378378378377,Sedang,0.5321637426900585,0.8314606741573032,0.6122448979591835,1,0,12,3
Male,0,0.30000000000000004,1,0.46,Software Engineer,0.978723404255319,0.9199999999999999,0.94,0.45999999999999996,0.8125,0.5306122448979591,0.10000000000000009,Teknologi,0.6910810810810808,Tinggi,0.807017543859649,0.5617977528089888,0.5306122448979591,0,1,13,5
Male,1,0.2,1,0.68,Software Engineer,0.8936170212765959,0.9000000000000001,0.6400000000000001,0.26,0.75,0.40816326530612224,0.625,Teknologi,0.6178378378378377,Sedang,0.6140350877192982,0.7865168539325844,0.40816326530612224,0,1,13,5
Male,0,0.6000000000000001,0,0.5,Social Network Studies,0.8723404255319149,0.3600000000000001,0.8800000000000001,0.7,0.703125,0.4897959183673468,0.30000000000000004,Sosial & Hukum,0.5945945945945945,Sedang,0.7894736842105261,0.3370786516853932,0.4897959183673468,0,1,12,3
Female,0,0.30000000000000004,1,0.36,Teacher,0.9574468085106385,0.3800000000000001,0.76,0.41999999999999993,0.484375,0.4285714285714284,0.3250000000000002,Sosial & Hukum,0.47486486486486457,Rendah,0.6140350877192982,0.3595505617977528,0.4285714285714284,1,0,15,3
